"Step","run - val_sparse_accuracy","run - val_sparse_accuracy__MIN","run - val_sparse_accuracy__MAX"
"422","13.1","13.1","13.1"
"424","13.1","13.1","13.1"
"426","22.2","22.2","22.2"
"428","13","13","13"
"430","13.4","13.4","13.4"
"432","13.2","13.2","13.2"
"434","26.8","26.8","26.8"
"436","14.2","14.2","14.2"
"438","26.9","26.9","26.9"
"440","22.8","22.8","22.8"
"442","26.7","26.7","26.7"
"444","12.6","12.6","12.6"
"446","13","13","13"
"448","27","27","27"
"450","16.1","16.1","16.1"
"452","26.8","26.8","26.8"
"454","27","27","27"
"456","13.1","13.1","13.1"
"458","12.9","12.9","12.9"
"460","13.4","13.4","13.4"
"462","27.3","27.3","27.3"
"464","26.9","26.9","26.9"
"466","12.7","12.7","12.7"
"468","26.8","26.8","26.8"
"470","27.2","27.2","27.2"
"472","12.5","12.5","12.5"
"474","13.1","13.1","13.1"
"476","15.7","15.7","15.7"
"478","15.1","15.1","15.1"
"480","27.3","27.3","27.3"
"482","25.9","25.9","25.9"
"484","27.1","27.1","27.1"
"486","13.1","13.1","13.1"
"488","25.2","25.2","25.2"
"490","13.3","13.3","13.3"
"492","13.3","13.3","13.3"
"494","13.1","13.1","13.1"
"496","13.1","13.1","13.1"
"498","18.8","18.8","18.8"
"500","15","15","15"
"502","12.8","12.8","12.8"
"504","12.8","12.8","12.8"
"506","13.3","13.3","13.3"
"508","29.2","29.2","29.2"
"510","19.8","19.8","19.8"
"512","20.7","20.7","20.7"
"514","13.1","13.1","13.1"
"516","13","13","13"
"518","29.2","29.2","29.2"
"520","28.5","28.5","28.5"
"522","13.2","13.2","13.2"
"524","13.2","13.2","13.2"
"526","14.1","14.1","14.1"
"528","26.9","26.9","26.9"
"530","26.9","26.9","26.9"
"532","27","27","27"
"534","26.9","26.9","26.9"
"536","13.2","13.2","13.2"
"538","23.9","23.9","23.9"
"540","23","23","23"
"542","13.1","13.1","13.1"
"544","23.7","23.7","23.7"
"546","13","13","13"
"548","13.2","13.2","13.2"
"550","13.2","13.2","13.2"
"552","13.2","13.2","13.2"
"554","15.1","15.1","15.1"
"556","13.1","13.1","13.1"
"558","13.2","13.2","13.2"
"560","27.1","27.1","27.1"
"562","14","14","14"
"564","13.1","13.1","13.1"
"566","13.2","13.2","13.2"
"568","29.2","29.2","29.2"
"570","13.1","13.1","13.1"
"572","21","21","21"
"574","13.1","13.1","13.1"
"576","13.1","13.1","13.1"
"578","13.2","13.2","13.2"
"580","13.3","13.3","13.3"
"582","13.4","13.4","13.4"
"584","13.4","13.4","13.4"
"586","13.1","13.1","13.1"
"588","13.2","13.2","13.2"
"590","13.1","13.1","13.1"
"592","14.4","14.4","14.4"
"594","13.2","13.2","13.2"
"596","13","13","13"
"598","13.2","13.2","13.2"
"600","13.1","13.1","13.1"
"602","13.1","13.1","13.1"
"604","29.2","29.2","29.2"
"606","13.2","13.2","13.2"
"608","13.1","13.1","13.1"
"610","13.2","13.2","13.2"
"612","13.2","13.2","13.2"
"614","13.4","13.4","13.4"
"616","13.3","13.3","13.3"
"618","13.2","13.2","13.2"
"620","13.1","13.1","13.1"
"622","12.6","12.6","12.6"
"624","13.2","13.2","13.2"
"626","13.1","13.1","13.1"
"628","13.2","13.2","13.2"
"630","13.1","13.1","13.1"
"632","13.2","13.2","13.2"
"634","13.1","13.1","13.1"
"636","12.9","12.9","12.9"
"638","13.1","13.1","13.1"
"640","13.1","13.1","13.1"
"642","12.7","12.7","12.7"
"644","13.2","13.2","13.2"
"646","13.1","13.1","13.1"
"648","13","13","13"
"650","12.9","12.9","12.9"
"652","13","13","13"
"654","13.1","13.1","13.1"
"656","12.7","12.7","12.7"
"658","13.4","13.4","13.4"
"660","13.1","13.1","13.1"
"662","13.1","13.1","13.1"
"664","13.1","13.1","13.1"
"666","13.4","13.4","13.4"
"668","13.1","13.1","13.1"
"670","13","13","13"
"672","13","13","13"
"674","12.9","12.9","12.9"
"676","13","13","13"
"678","12.9","12.9","12.9"
"680","13.2","13.2","13.2"
"682","12.9","12.9","12.9"
"684","12.9","12.9","12.9"
"686","13.1","13.1","13.1"
"688","12.9","12.9","12.9"
"690","12.8","12.8","12.8"
"692","12.9","12.9","12.9"
"694","12.9","12.9","12.9"
"696","12.8","12.8","12.8"
"698","12.8","12.8","12.8"
"700","13.2","13.2","13.2"
"702","13","13","13"
"704","12.9","12.9","12.9"
"706","12.9","12.9","12.9"
"708","13","13","13"
"710","13","13","13"
"712","12.9","12.9","12.9"
"714","12.9","12.9","12.9"
"716","12.8","12.8","12.8"
"718","12.8","12.8","12.8"
"720","12.9","12.9","12.9"
"722","12.9","12.9","12.9"
"724","13","13","13"
"726","12.9","12.9","12.9"
"728","12.9","12.9","12.9"
"730","12.8","12.8","12.8"
"732","12.9","12.9","12.9"
"734","12.8","12.8","12.8"
"736","12.8","12.8","12.8"
"738","12.8","12.8","12.8"
"740","12.8","12.8","12.8"
"742","12.8","12.8","12.8"
"744","12.8","12.8","12.8"
"746","12.8","12.8","12.8"
"748","12.8","12.8","12.8"
"750","12.8","12.8","12.8"
"752","12.8","12.8","12.8"
"754","12.8","12.8","12.8"
"756","12.8","12.8","12.8"
"758","12.9","12.9","12.9"
"760","13.7","13.7","13.7"
"762","12.8","12.8","12.8"
"764","12.9","12.9","12.9"
"766","12.8","12.8","12.8"
"768","13.2","13.2","13.2"
"770","13.5","13.5","13.5"
"772","13.1","13.1","13.1"
"774","13.1","13.1","13.1"
"776","13.1","13.1","13.1"
"778","12.8","12.8","12.8"
"780","12.8","12.8","12.8"
"782","12.8","12.8","12.8"
"784","12.8","12.8","12.8"
"786","12.8","12.8","12.8"
"788","12.8","12.8","12.8"
"790","12.8","12.8","12.8"
"792","12.8","12.8","12.8"
"794","12.8","12.8","12.8"
"796","12.8","12.8","12.8"
"798","12.8","12.8","12.8"
"800","12.8","12.8","12.8"
"802","12.8","12.8","12.8"
"804","12.9","12.9","12.9"
"806","12.8","12.8","12.8"
"808","12.8","12.8","12.8"
"810","12.9","12.9","12.9"
"812","13.1","13.1","13.1"
"814","13.1","13.1","13.1"
"816","13.1","13.1","13.1"
"818","13.1","13.1","13.1"
"820","13","13","13"
"822","13.1","13.1","13.1"
"824","12.9","12.9","12.9"
"826","12.9","12.9","12.9"
"828","12.9","12.9","12.9"
"830","12.9","12.9","12.9"
"832","12.9","12.9","12.9"
"834","12.9","12.9","12.9"
"836","12.9","12.9","12.9"
"838","12.9","12.9","12.9"
"840","13.1","13.1","13.1"
"842","13.1","13.1","13.1"
"844","13","13","13"
"846","13.1","13.1","13.1"
"848","13.1","13.1","13.1"
"850","12.9","12.9","12.9"
"852","12.9","12.9","12.9"
"854","12.9","12.9","12.9"
"856","12.9","12.9","12.9"
"858","12.9","12.9","12.9"
"860","12.9","12.9","12.9"
"862","12.9","12.9","12.9"
"864","12.9","12.9","12.9"
"866","12.9","12.9","12.9"
"868","12.9","12.9","12.9"
"870","12.9","12.9","12.9"
"872","13","13","13"
"874","13.1","13.1","13.1"
"876","12.9","12.9","12.9"
"878","13.1","13.1","13.1"
"880","13.1","13.1","13.1"
"882","12.9","12.9","12.9"
"884","12.9","12.9","12.9"
"886","12.9","12.9","12.9"
"888","13.1","13.1","13.1"
"890","13.1","13.1","13.1"
"892","13.1","13.1","13.1"
"894","13.2","13.2","13.2"
"896","13.2","13.2","13.2"
"898","13.1","13.1","13.1"
"900","13.2","13.2","13.2"
"902","13.2","13.2","13.2"
"904","13.2","13.2","13.2"
"906","13.1","13.1","13.1"
"908","13.2","13.2","13.2"
"910","13.2","13.2","13.2"
"912","13.3","13.3","13.3"
"914","13.1","13.1","13.1"
"916","13.1","13.1","13.1"
"918","13.2","13.2","13.2"
"920","13.2","13.2","13.2"
"922","13.3","13.3","13.3"
"924","13.5","13.5","13.5"
"926","13.5","13.5","13.5"
"928","13.3","13.3","13.3"
"930","13.2","13.2","13.2"
"932","13.3","13.3","13.3"
"934","13.5","13.5","13.5"
"936","13.5","13.5","13.5"
"938","13.4","13.4","13.4"
"940","13.4","13.4","13.4"
"942","13.3","13.3","13.3"
"944","13.4","13.4","13.4"
"946","13.4","13.4","13.4"
"948","13.4","13.4","13.4"
"950","13.5","13.5","13.5"
"952","13.4","13.4","13.4"
"954","13.1","13.1","13.1"
"956","13.4","13.4","13.4"
"958","13.6","13.6","13.6"
"960","13.7","13.7","13.7"
"962","13.5","13.5","13.5"
"964","13.7","13.7","13.7"
"966","14","14","14"
"968","13.8","13.8","13.8"
"970","13.8","13.8","13.8"
"972","13.6","13.6","13.6"
"974","13.9","13.9","13.9"
"976","13.8","13.8","13.8"
"978","13.9","13.9","13.9"
"980","14","14","14"
"982","14","14","14"
"984","14.1","14.1","14.1"
"986","14","14","14"
"988","14.4","14.4","14.4"
"990","14.2","14.2","14.2"
"992","14.1","14.1","14.1"
"994","14.4","14.4","14.4"
"996","14.2","14.2","14.2"
"998","14.2","14.2","14.2"
"1000","14.4","14.4","14.4"
"1002","14.3","14.3","14.3"
"1004","14.3","14.3","14.3"
"1006","14.1","14.1","14.1"
"1008","14","14","14"
"1010","14.1","14.1","14.1"
"1012","14.1","14.1","14.1"
"1014","13.5","13.5","13.5"
"1016","13.3","13.3","13.3"
"1018","13.4","13.4","13.4"
"1020","13.5","13.5","13.5"
"1022","13.4","13.4","13.4"
"1024","13.3","13.3","13.3"
"1026","13.2","13.2","13.2"
"1028","13.2","13.2","13.2"
"1030","13.7","13.7","13.7"
"1032","14.3","14.3","14.3"
"1034","13.9","13.9","13.9"
"1036","14.7","14.7","14.7"
"1038","13.6","13.6","13.6"
"1040","13.4","13.4","13.4"
"1042","14.2","14.2","14.2"
"1044","13.9","13.9","13.9"
"1046","13.8","13.8","13.8"
"1048","14.1","14.1","14.1"
"1050","14.1","14.1","14.1"
"1052","14","14","14"
"1054","14","14","14"
"1056","14","14","14"
"1058","14.3","14.3","14.3"
"1060","14.3","14.3","14.3"
"1062","14.3","14.3","14.3"
"1064","14.3","14.3","14.3"
"1066","14.4","14.4","14.4"
"1068","14.4","14.4","14.4"
"1070","14.5","14.5","14.5"
"1072","14.6","14.6","14.6"
"1074","14.6","14.6","14.6"
"1076","14.5","14.5","14.5"
"1078","14.6","14.6","14.6"
"1080","14.5","14.5","14.5"
"1082","14.3","14.3","14.3"
"1084","14.5","14.5","14.5"
"1086","14.5","14.5","14.5"
"1088","14.4","14.4","14.4"
"1090","14.4","14.4","14.4"
"1092","14.5","14.5","14.5"
"1094","14.5","14.5","14.5"
"1096","14.5","14.5","14.5"
"1098","14.7","14.7","14.7"
"1100","14.7","14.7","14.7"
"1102","14.7","14.7","14.7"
"1104","14.8","14.8","14.8"
"1106","14.8","14.8","14.8"
"1108","14.9","14.9","14.9"
"1110","14.6","14.6","14.6"
"1112","14.6","14.6","14.6"
"1114","14.5","14.5","14.5"
"1116","14.6","14.6","14.6"
"1118","14.6","14.6","14.6"
"1120","14.7","14.7","14.7"
"1122","14.7","14.7","14.7"
"1124","14.7","14.7","14.7"
"1126","14.8","14.8","14.8"
"1128","14.8","14.8","14.8"
"1130","14.9","14.9","14.9"
"1132","14.9","14.9","14.9"
"1134","14.9","14.9","14.9"
"1136","15.2","15.2","15.2"
"1138","14.9","14.9","14.9"
"1140","15","15","15"
"1142","15.2","15.2","15.2"
"1144","15.3","15.3","15.3"
"1146","15.1","15.1","15.1"
"1148","15.3","15.3","15.3"
"1150","15.3","15.3","15.3"
"1152","15.5","15.5","15.5"
"1154","15.4","15.4","15.4"
"1156","15.4","15.4","15.4"
"1158","15.4","15.4","15.4"
"1160","15.4","15.4","15.4"
"1162","15.5","15.5","15.5"
"1164","15.8","15.8","15.8"
"1166","15.7","15.7","15.7"
"1168","15.7","15.7","15.7"
"1170","15.7","15.7","15.7"
"1172","15.7","15.7","15.7"
"1174","15.8","15.8","15.8"
"1176","15.8","15.8","15.8"
"1178","15.8","15.8","15.8"
"1180","16","16","16"
"1182","16","16","16"
"1184","15.7","15.7","15.7"
"1186","15.8","15.8","15.8"
"1188","15.7","15.7","15.7"
"1190","15.9","15.9","15.9"
"1192","15.8","15.8","15.8"
"1194","15.8","15.8","15.8"
"1196","16.3","16.3","16.3"
"1198","16.3","16.3","16.3"
"1200","16.5","16.5","16.5"
"1202","16.4","16.4","16.4"
"1204","16.2","16.2","16.2"
"1206","16.4","16.4","16.4"
"1208","16.2","16.2","16.2"
"1210","16.5","16.5","16.5"
"1212","16.7","16.7","16.7"
"1214","16.7","16.7","16.7"
"1216","16.7","16.7","16.7"
"1218","16.3","16.3","16.3"
"1220","16.8","16.8","16.8"
"1222","17","17","17"
"1224","17","17","17"
"1226","16.9","16.9","16.9"
"1228","16.9","16.9","16.9"
"1230","16.8","16.8","16.8"
"1232","16.7","16.7","16.7"
"1234","16.6","16.6","16.6"
"1236","16.8","16.8","16.8"
"1238","16.7","16.7","16.7"
"1240","16.7","16.7","16.7"
"1242","16.7","16.7","16.7"
"1244","16.6","16.6","16.6"
"1246","16.7","16.7","16.7"
"1248","16.6","16.6","16.6"
"1250","16.5","16.5","16.5"
"1252","17","17","17"
"1254","17.1","17.1","17.1"
"1256","17.1","17.1","17.1"
"1258","17.2","17.2","17.2"
"1260","17.3","17.3","17.3"
"1262","17.3","17.3","17.3"
"1264","17.3","17.3","17.3"
"1266","17.3","17.3","17.3"
"1268","17.3","17.3","17.3"
"1270","17.4","17.4","17.4"
"1272","17.5","17.5","17.5"
"1274","17.7","17.7","17.7"
"1276","17.8","17.8","17.8"
"1278","17.8","17.8","17.8"
"1280","18.5","18.5","18.5"
"1282","18","18","18"
"1284","18.4","18.4","18.4"
"1286","18.7","18.7","18.7"
"1288","18.7","18.7","18.7"
"1290","18.8","18.8","18.8"
"1292","18.8","18.8","18.8"
"1294","18.6","18.6","18.6"
"1296","18.8","18.8","18.8"
"1298","18.8","18.8","18.8"
"1300","18.9","18.9","18.9"
"1302","19.1","19.1","19.1"
"1304","19.1","19.1","19.1"
"1306","18.8","18.8","18.8"
"1308","18.8","18.8","18.8"
"1310","18.9","18.9","18.9"
